,W,Reject null hypothesis
385d596077ffe9ba4dcf4718d48df5a0,680,True
a55083d6821b6fdfee4ba2e9f40fc38d,706,True
2f173101691f8f9521e843a5c1ae40c1,659,True
ada653edfd3ae85d6d689e24e2546ea6,725,True
c84509b5d38955838482e9d6a4770bfe,720,True
8f0ba2d0c4a91f9303ab9e1b48d9f92b,741,True
9496b3deef3751dada324142e57b8496,102,False
2437535bb10279fbb5ace6ec2a9ca604,104,False
c0621c113c3881acaa5a885e8696262b,746,True
6a42d2b0592b02b980482226e0408ae5,733,True
115e28c1e70188545e0df9f13829e425,753,True
feb095235cc35615953f8acf60405888,695,True
6f37b63fa180896c68c12ff39ea6d992,596,False
4c77b4a241dbcc5b0a1156a672494d3c,212,False
a1bef55a97db05fdc081a43465349d20,97,False
efff83850806ec2d1f98bdc32c9b5032,688,True
93fd9587a7cacdd261dfa87d1ac03f69,137,False
6712ed33e2555202fed3b510d0526fb8,617,False
b7418eacada1319fa8b6baaf6aff06cd,690,True
f58ef02fd3fe4f8f1c8ba13a3e205697,707,True
106bd865c1d09faf628b797143471563,743,True
4dc10ad4afd35b9803d853e819d3cec5,732,True
455bd447ce50ab401ed011bd899c19d0,713,True
7251b9f4e6faa33b5861aad135b5ed42,680,True
9825426be20fbb54b2a7f72ee7d48d21,760,True
64d5101b2df15e6872678eba97c70018,728,True
75c1405eb8a41e6e91339d78d3a548a3,100,False
b50999f171fe6cee3c0493b50bb8926e,729,True
d3a5dac580af1f9ccc6f516d334454c5,759,True
6c524c5003c3e02e3796c91d900dfd8a,748,True
d8a637e4a71b0d41cd326411f9a36b72,113,False
f540d33e721da6d5f306137ed0fabbfd,99,False
707f5ba87a63b8071f5b7cad27aa9046,107,False
14ca6a8129ff8d410ec8b813f368c9f3,758,True
f0b5463f03e2a4eeb02af06f6e9abbfb,398,False
4a75fcf52d0e531670c5db3dc7bbdebe,208,False
a241130e3329aa2290a241a4c7f1198a,753,True
0ad47af54774c67f2286f426a018cf73,651,True
6d921a67aa7c3f9aa782195fc00201ea,623,True
6d6db3b34de7c95e0164bc3ce3a432f8,529,False
13f5aba07d66b4d4f6a20ccd480a3836,718,True
62b37b01d06eb149095ba9ccdc7af2b8,678,True
9eec995d1b7de24deb146bf87c62e8ef,137,False
cdd363405ed482776e9de1e5245448b1,94,False
b4522fd8fd73185efa97ac64b2cc7e25,681,True
5b9cc5f3383146b1bdc91664611ad490,659,True
cc183650cb3dcbac360cc172c5d703b3,184,False
a2fde235d88b046063c654d204a7a4c6,721,True
0cf0a8fd1e0718ac71fcaeed38556c78,697,True
98b8fb4e2dc98e89e2063eb5ad56978d,128,False
c8dfcd75c410c2c0b794df887ec0a34e,643,True
d061426ac84016b183e18c6e2885fd29,99,False
25eceffa4cd0ea265e2402c1674292ad,130,False
652b994f73d84df28e05cca4bd945b80,695,True
a9b4a380d3b76755de55410a3b856df4,179,False
9049e702d18015c0f3159c054521811b,94,False
f93264ea82f3fe38761ffea075832af6,150,False
9995ee984e1b3e33f924d54b5af218d5,210,False
6a727fb5deb644a626c6d8db1b910264,686,True
03962dcc12fa27ce05bb5ec0cbc845e1,102,False
b65cf6043dce1f7e59f53c217fb260f8,182,False
0f4e6fb8fe44475eb5fe7b8c23cd302c,661,True
1275c8657f3502d2f3d7b0d9ec7e1c78,112,False
9a214b109e40bba73119d98bc589137d,153,False
c192427b4464e1e6518e606baebdfcc4,749,True
28d5c3a57b69062e0533659a8581e8d2,182,False
bd125a76504879bb9c7e39a1cfd9e8f0,722,True
2b5b215370643f29a4fa44cd92f98406,112,False
33cad932d631b8b687b7a4ab47256f50,407,False
9d07a6ff18a64d9e41e70bb17e9e02c7,718,True
ee5f9957059a8fc136180296abe68410,328,False
20d7d74d652dc2e8350a546230369d87,113,False
b60e945effc23b9d2fcbf954e742f225,721,True
6f47312c16018daf100523ef19e3c2e3,748,True
a4cb5567db12409c1d56ecc1a068716b,703,True
94c74d1568cac65bbf7207e318eae5e3,516,False
43448df049aca67bf9844aa6e8a9f381,118,False
33e1ac220f41546ecd814774ab05f65e,679,True
05dda23dde6461051c9301e32d1bd5ea,112,False
a978026c6c33bccb8dd70bd2ddbf48bf,134,False
db6086608389f922cfd2e33a3a6826f5,146,False
353b00e164d7ee0aefd33c34d12562d9,130,False
0f9e8f424f928fd6c31b88cae7baf895,693,True
a6b32fa9c8812a4f830754858d9f156f,117,False
08facab685fd719caf7534ebc296e3de,151,False
020f0a617a39434d9befc5f845a062ca,171,False
4333f97aaba82904f5975cf89c540fa3,102,False
