,Reject null hypothesis,W
a4cb5567db12409c1d56ecc1a068716b,False,166
94c74d1568cac65bbf7207e318eae5e3,False,47
43448df049aca67bf9844aa6e8a9f381,False,28
33e1ac220f41546ecd814774ab05f65e,False,35
05dda23dde6461051c9301e32d1bd5ea,False,25
a978026c6c33bccb8dd70bd2ddbf48bf,False,36
db6086608389f922cfd2e33a3a6826f5,False,41
353b00e164d7ee0aefd33c34d12562d9,False,28
0f9e8f424f928fd6c31b88cae7baf895,False,41
a6b32fa9c8812a4f830754858d9f156f,False,30
08facab685fd719caf7534ebc296e3de,False,30
020f0a617a39434d9befc5f845a062ca,False,33
4333f97aaba82904f5975cf89c540fa3,False,24
49b638959c85d9c19a3e1c109e5b7a7e,False,60
2ba193f406409a38522a50cd8acde93f,False,31
f66355d9bb172e233ce23a1a71c824fc,False,26
15869fbb559d7a31992e2034442b5099,False,37
546f2c0a74a88e6f1f37a2366edb0060,False,45
5a7b1b9e2a54e153cd274e59b198fd0b,True,645
f770439b7fe512e54524cd8258919221,False,33
8a48bf9639e05c7114dcafbe69a2a87d,False,28
3192ed8ef0fbbeb4b598cd5c5afcc823,False,39
9b40ea06cb2c2f75122976fb2a675732,False,36
18dd309a2b535cd5aaae0dcb57fcc4de,False,34
1f57d8cd0aba981aa992ebb823fd0b90,False,25
fc95c5f3462141b2eb751d59bd47710a,False,36
0223dac37ae7d499a1c11fecc17cbb5b,False,35
1c8e4345e379083be44a9fc59bb13632,True,665
0fe6ce7e4cf81ce80df2be1ddb2d551b,False,36
a2936df30120074ee2b32fd9a5ed9496,True,660
22bcaa8ecd6c2998cd725e7311151544,False,38
c4a8701a932fd74879ae6a6470d51514,False,26
bdd8b8004afe7e4f36b3c39d51bac9ec,False,31
c7f6ad28dccd61b9bce4ff1f27aa6662,False,30
c9323cdbf2225cd388d8b832bdd66eb1,False,42
1c1da3e36c883cb562cc4c5a56ed3fa6,False,35
43388de77b3efd9427c166102f19ad45,False,51
ae087a17f437a53f851d7654a5a6645c,False,48
7641849beb912c26c7e26c8686777a85,False,29
33ceef400d52e119a12874531a4b5d8f,False,40
499ce705449e46451e5f1eaa7b227ae2,False,37
0e231fdcef132f17f43646b00bf9d2c9,False,24
65acb90c1f269e56038348529fb09cdf,False,37
7945ed12e8c16433888909725ba680d7,False,40
2ce5e8a89de78b532263e4baa2fbad54,False,31
77f358c89e3836c285354b3b18f788a9,False,54
3ed7fe52130f946687694a26dc480d15,False,41
5d2ddb0c78bd8f9fd7b710eafb54853b,False,43
a3c411aae6e316341d505af6ca75243e,False,35
e63bf82b08616e9edd3c73dd69b7a616,False,32
a9d6a5f7975b032329925dd79ca6a9f1,True,658
95417e07c236ac7acbf5d66358df296d,False,34
bbc99824096869ffba0c8e4ef59cfb84,False,35
9fee0541c33fc3a7f60933b67b7dffe9,False,38
7144de9684c83011bf5f22cf3b41d0f9,False,36
5140459f4b7a91d213e055e26a40fa40,False,34
7e44b8773054a47843e4552617ba2dc5,False,48
e60b0d20788a9810bdff12607368576b,False,32
f7658cea5c4183a00c8a26e0d5a59187,False,28
79d06b65909141041df1ea6d2aaa440a,False,43
c1e1eb75b6ec596c23e5e653cbe42da4,False,49
003803ad4793fac9ebe6a54c78ad5a93,False,492
25d0bc970ce52db647439b74f905e506,False,32
95b7e9f29f62c6bca73ed11b2e8a35e1,False,39
fde71fd19ae125edac13405754d05654,False,42
