Group 1,Group 2,H,p-value,q-value
gut (n=8),left palm (n=8),4.411764705882355,0.0356919001168044,0.1070757003504132
gut (n=8),right palm (n=9),5.787037037037031,0.016144778094368453,0.09686866856621072
gut (n=8),tongue (n=9),3.0,0.08326451666355042,0.16652903332710084
left palm (n=8),right palm (n=9),0.3333333333333357,0.5637028616507718,0.5637028616507718
left palm (n=8),tongue (n=9),2.3703703703703667,0.12365771040283399,0.185486565604251
right palm (n=9),tongue (n=9),1.6393762183235836,0.20041107494054322,0.24049328992865185
