Group 1,Group 2,H,p-value,q-value
gut (n=8),left palm (n=8),11.294117647058826,0.000777530446940383,0.0023325913408211493
gut (n=8),right palm (n=9),3.7037037037037024,0.0542918283668548,0.0814377425502822
gut (n=8),tongue (n=9),0.0,1.0,1.0
left palm (n=8),right palm (n=9),2.3703703703703667,0.12365771040283399,0.1483892524834008
left palm (n=8),tongue (n=9),12.0,0.0005320055051392492,0.0023325913408211493
right palm (n=9),tongue (n=9),4.306042884990248,0.03797720355552741,0.07595440711105482
